"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Chris Olave","NO","WR59","0.4","2.2","0.0","49.0","707.0","4.6","0.7","145.9"
"Jalen Tolbert","DAL","WR60","0.4","2.4","0.0","51.2","676.5","4.5","0.7","144.5"
"Nico Collins","HOU","WR61","0.0","0.0","0.0","51.9","677.1","3.3","0.5","138.3"
"Gerald Everett","LAC","TE17","0.0","0.0","0.0","55.0","567.4","4.6","0.9","137.4"
"Corey Davis","NYJ","WR62","0.0","0.0","0.0","47.1","664.7","4.1","0.5","137.0"
"DJ Chark Jr.","DET","WR63","0.2","1.6","0.0","45.5","642.7","4.4","0.1","136.1"
"James Robinson","JAC","RB37","151.4","619.5","5.1","23.3","174.0","0.7","1.2","135.1"
"Julio Jones","TB","WR64","0.0","0.0","0.0","48.6","646.4","3.7","0.4","134.9"
"David Njoku","CLE","TE18","0.0","0.0","0.0","51.2","584.7","4.3","0.4","134.8"
"Skyy Moore","KC","WR65","0.4","2.4","0.0","46.0","625.7","4.6","1.2","134.0"
"James Cook","BUF","RB38","105.7","487.9","3.8","30.0","243.0","1.8","1.3","134.0"
"Ken Walker III","SEA","RB39","163.5","714.9","4.8","19.0","146.1","0.5","1.8","133.2"
"Irv Smith Jr.","MIN","TE19","0.0","0.0","0.0","50.4","558.6","4.5","0.1","132.9"
"Michael Carter","NYJ","RB40","126.9","526.4","3.0","30.9","261.2","1.0","0.8","132.4"
"Van Jefferson","LAR","WR66","1.9","15.0","0.0","44.8","615.8","3.9","0.1","131.3"
"Logan Thomas","WAS","TE20","0.0","0.0","0.0","50.5","528.9","4.7","0.4","130.4"
"K.J. Osborn","MIN","WR67","0.2","2.0","0.0","45.6","580.6","4.6","0.4","130.3"
"Donovan Peoples-Jones","CLE","WR68","0.0","0.0","0.0","43.2","662.4","3.6","0.4","130.0"
"Jahan Dotson","WAS","WR69","0.4","2.2","0.0","47.9","633.7","3.4","1.2","129.8"
"Rondale Moore","ARI","WR70","17.3","99.6","0.6","51.5","499.3","2.6","0.6","129.7"
"Jamison Crowder","BUF","WR71","2.1","13.2","0.0","51.3","545.6","3.9","0.5","129.5"
"Sterling Shepard","NYG","WR72","1.0","4.4","0.0","55.1","567.4","2.9","0.4","129.2"
"Curtis Samuel","WAS","WR73","16.6","91.8","0.8","44.6","506.4","3.4","0.5","129.0"
"Albert Okwuegbunam","DEN","TE21","0.0","0.0","0.0","49.9","518.3","4.7","0.8","128.3"
"Joshua Palmer","LAC","WR74","0.0","0.0","0.0","47.3","555.7","4.1","0.2","127.0"
"Evan Engram","JAC","TE22","0.0","0.0","0.0","52.1","535.7","3.5","0.4","125.8"
"Marlon Mack","HOU","RB41","148.4","687.8","4.5","16.7","122.3","0.5","1.0","125.3"
"J.D. McKissic","WAS","RB42","50.0","219.1","1.4","47.3","372.9","1.8","0.5","124.6"
"Robert Tonyan","GB","TE23","0.0","0.0","0.0","45.7","519.3","4.5","0.1","124.6"
"Austin Hooper","TEN","TE24","0.0","0.0","0.0","50.9","498.5","4.1","0.4","124.5"
"Nyheim Hines","IND","RB43","70.2","278.1","1.7","43.9","343.8","1.8","1.6","124.2"
"Parris Campbell","IND","WR75","1.0","8.0","0.0","45.6","564.2","3.5","0.1","123.5"
"Kendrick Bourne","NE","WR76","6.4","48.4","0.1","42.1","539.9","3.8","0.5","123.5"
"George Pickens","PIT","WR77","0.4","1.8","0.0","47.9","591.0","3.1","1.2","123.5"
"Randall Cobb","GB","WR78","0.8","3.0","0.0","42.9","548.8","4.2","0.5","122.2"
"Christian Watson","GB","WR79","1.2","7.1","0.0","41.8","594.8","3.7","1.2","122.0"
"Jameson Williams","DET","WR80","0.4","2.2","0.0","42.2","577.4","3.4","1.1","118.6"
"Darrell Henderson Jr.","LAR","RB44","119.2","495.0","3.7","22.1","173.4","1.3","0.7","117.9"
"Kenneth Gainwell","PHI","RB45","90.2","375.4","3.9","28.6","229.7","1.3","1.1","117.9"
"Jamaal Williams","DET","RB46","136.3","563.5","3.5","21.9","143.4","0.8","0.8","116.5"
"Ronald Jones II","KC","RB47","140.2","574.5","5.2","15.3","103.0","0.5","1.1","115.3"
"Laviska Shenault Jr.","JAC","WR81","12.3","61.1","0.4","44.1","465.7","2.8","0.4","115.0"
"Alexander Mattison","MIN","RB48","115.4","470.5","2.9","25.6","192.8","1.0","0.9","113.3"
"Mark Ingram II","NO","RB49","124.1","527.0","3.7","20.7","155.2","0.7","1.0","113.1"
"Dameon Pierce","HOU","RB50","130.0","516.5","3.5","22.0","170.8","0.8","1.8","112.7"
"Devin Duvernay","BAL","WR82","4.9","34.0","0.1","43.2","489.3","2.8","0.2","112.5"
"Raheem Mostert","MIA","RB51","117.0","577.2","3.9","15.6","123.6","0.9","1.0","112.2"
"Isaiah Spiller","LAC","RB52","104.3","441.4","3.3","23.2","186.8","1.3","1.3","111.1"
"Byron Pringle","CHI","WR83","0.0","0.0","0.0","40.9","519.8","3.0","0.2","110.6"
"Hayden Hurst","CIN","TE25","0.0","0.0","0.0","42.0","441.8","4.0","0.5","109.2"
"Nick Westbrook-Ikhine","TEN","WR84","0.0","0.0","0.0","39.4","494.6","3.5","0.5","109.1"
"Jerick McKinnon","KC","RB53","34.3","260.6","1.6","34.7","279.9","1.8","0.4","108.3"
"Rex Burkhead","HOU","RB54","77.2","352.9","2.6","28.8","229.5","1.1","0.5","108.2"
"A.J. Green","ARI","WR85","0.0","0.0","0.0","37.5","537.4","2.9","0.1","108.2"
"Alec Pierce","IND","WR86","0.0","0.0","0.0","36.5","495.9","3.4","0.3","105.9"
"Bryan Edwards","ATL","WR87","0.2","1.4","0.0","36.2","533.0","2.6","0.1","105.3"
"Rachaad White","TB","RB55","98.9","401.3","3.8","21.2","172.0","1.0","1.2","104.9"
"Gus Edwards","BAL","RB56","135.5","604.4","4.3","10.4","89.4","0.3","1.1","104.8"
"Kenyan Drake","LV","RB57","90.9","361.5","2.9","27.1","205.2","0.9","0.9","104.6"
"Cedrick Wilson Jr.","MIA","WR88","0.6","1.6","0.0","38.0","456.0","3.1","0.5","101.1"
"James White","NE","RB58","28.0","135.0","0.8","40.2","316.8","1.7","0.1","100.4"
"Tyler Allgeier","ATL","RB59","125.2","507.7","2.8","18.4","143.1","0.6","1.7","100.2"
"James Washington","DAL","WR89","0.4","2.2","0.0","31.5","463.1","3.7","0.1","99.9"
"Mo Alie-Cox","IND","TE26","0.0","0.0","0.0","35.7","431.5","3.3","0.1","98.4"
"Sammy Watkins","GB","WR90","0.6","3.5","0.0","34.9","464.7","2.6","0.4","96.7"
"C.J. Uzomah","NYJ","TE27","0.0","0.0","0.0","39.7","391.7","2.8","0.1","95.6"
"Brevin Jordan","HOU","TE28","0.0","0.0","0.0","39.0","395.8","2.8","0.1","95.0"
"Darrel Williams","ARI","RB60","84.3","315.0","2.8","22.2","185.8","0.8","0.8","92.5"
"KJ Hamler","DEN","WR91","1.0","4.6","0.0","33.0","426.2","2.9","0.4","92.3"
"Braxton Berrios","NYJ","WR92","5.2","31.4","0.9","35.2","354.9","2.0","0.5","90.4"
"Zay Jones","JAC","WR93","0.4","0.6","0.0","34.9","419.1","2.3","0.4","89.7"
"Adam Trautman","NO","TE29","0.0","0.0","0.0","36.0","374.8","2.8","0.4","89.7"
"Chris Conley","HOU","WR94","0.0","0.0","0.0","33.2","404.1","2.1","0.2","85.7"
"Kyle Rudolph","TB","TE30","0.0","0.0","0.0","32.8","327.8","3.2","0.1","84.7"
"Cameron Brate","TB","TE31","0.0","0.0","0.0","34.3","317.4","3.1","0.1","84.5"
"Olamide Zaccheaus","ATL","WR95","0.4","1.8","0.0","30.7","399.8","2.2","0.1","84.3"
"Nelson Agholor","NE","WR96","1.5","7.5","0.0","28.5","386.3","2.3","0.1","81.9"
"Damien Williams","ATL","RB61","80.3","294.2","2.1","20.9","153.0","0.8","0.9","81.1"
