"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"54",6,"Rondale Moore",ARI,"13","2 out of 5 stars","+9"
"55",6,"Skyy Moore",KC,"8","2 out of 5 stars","-1"
"56",6,"Marquez Valdes-Scantling",KC,"8","2 out of 5 stars","-3"
"57",6,"DeVante Parker",NE,"10","4 out of 5 stars","+1"
"58",6,"Michael Gallup",DAL,"9","3 out of 5 stars","-8"
"59",6,"DJ Chark Jr.",DET,"6","3 out of 5 stars","0"
"60",7,"Corey Davis",NYJ,"10","1 out of 5 stars","+8"
"61",7,"Robbie Anderson",CAR,"13","3 out of 5 stars","+5"
"62",7,"Mecole Hardman",KC,"8","2 out of 5 stars","-5"
"63",7,"Marvin Jones Jr.",JAC,"11","4 out of 5 stars","+7"
"64",7,"Jameson Williams",DET,"6","3 out of 5 stars","-3"
"65",7,"Van Jefferson",LAR,"7","2 out of 5 stars","-1"
"66",7,"Jahan Dotson",WAS,"14","4 out of 5 stars","+1"
"67",7,"Jamison Crowder",BUF,"7","4 out of 5 stars","+10"
"68",7,"Nico Collins",HOU,"6","3 out of 5 stars","+12"
"69",7,"Sterling Shepard",NYG,"9","4 out of 5 stars","+34"
"70",7,"Joshua Palmer",LAC,"8","3 out of 5 stars","+6"
"71",7,"Christian Watson",GB,"14","3 out of 5 stars","-15"
"72",7,"Kendrick Bourne",NE,"10","4 out of 5 stars","+9"
"73",7,"K.J. Osborn",MIN,"7","2 out of 5 stars","+14"
"74",7,"Curtis Samuel",WAS,"14","4 out of 5 stars","+10"
"75",7,"Julio Jones",TB,"11","4 out of 5 stars","-13"
"76",7,"George Pickens",PIT,"9","4 out of 5 stars","-11"
"77",7,"Donovan Peoples-Jones",CLE,"9","4 out of 5 stars","+5"
"78",7,"Parris Campbell",IND,"14","4 out of 5 stars","+16"
"79",7,"A.J. Green",ARI,"13","2 out of 5 stars","-7"
"80",7,"Laviska Shenault Jr.",JAC,"11","4 out of 5 stars","+6"
"81",8,"David Bell",CLE,"9","4 out of 5 stars","+12"
"82",8,"KJ Hamler",DEN,"9","4 out of 5 stars","+17"
"83",8,"Wan'Dale Robinson",NYG,"9","4 out of 5 stars","+2"
"84",8,"Terrace Marshall Jr.",CAR,"13","3 out of 5 stars","+8"
"85",8,"Byron Pringle",CHI,"14","3 out of 5 stars","+4"
"86",8,"Braxton Berrios",NYJ,"10","1 out of 5 stars","+40"
"87",8,"Bryan Edwards",ATL,"14","4 out of 5 stars","+40"
"88",8,"Zay Jones",JAC,"11","4 out of 5 stars","+32"
"89",8,"William Fuller V",FA,"-","-","+1"
"90",8,"Jalen Tolbert",DAL,"9","3 out of 5 stars","-21"
"91",8,"Marquez Callaway",NO,"14","4 out of 5 stars","-3"
"92",8,"Alec Pierce",IND,"14","4 out of 5 stars","-21"
"93",8,"Randall Cobb",GB,"14","3 out of 5 stars","-18"
"94",8,"Cedrick Wilson Jr.",MIA,"11","2 out of 5 stars","+4"
"95",8,"Odell Beckham Jr.",FA,"-","-","-22"
"96",8,"Nelson Agholor",NE,"10","4 out of 5 stars","+25"
