"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Devin Duvernay","BAL","WR85","3.3","22.0","0.1","42.5","461.6","2.7","0.4","106.9"
"Velus Jones Jr.","CHI","WR86","2.1","12.6","0.1","37.9","484.3","3.2","0.3","106.5"
"Mark Ingram II","NO","RB54","134.0","514.6","3.7","18.7","133.9","0.6","1.3","106.4"
"Byron Pringle","CHI","WR87","0.0","0.0","0.0","38.9","495.8","2.4","0.3","102.6"
"Rex Burkhead","HOU","RB55","80.4","305.5","2.4","29.6","230.0","1.1","0.7","102.4"
"Kendrick Bourne","NE","WR88","5.8","46.8","0.1","35.8","460.9","2.7","0.7","102.4"
"James Washington","DAL","WR89","0.5","3.3","0.0","32.3","473.2","3.8","0.1","102.3"
"Sammy Watkins","GB","WR90","0.8","4.4","0.0","36.7","479.5","3.0","0.7","102.0"
"Zay Jones","JAC","WR91","0.5","0.8","0.0","40.1","465.9","2.6","0.6","101.1"
"Darrel Williams","ARI","RB56","90.1","343.8","3.0","23.1","195.6","0.8","1.2","97.3"
"Isaiah Spiller","LAC","RB57","93.6","398.0","2.7","19.7","148.5","1.2","0.6","96.6"
"Brevin Jordan","HOU","TE27","0.0","0.0","0.0","39.3","380.9","3.2","0.2","96.5"
"Mo Alie-Cox","IND","TE28","0.0","0.0","0.0","34.4","425.2","3.3","0.1","96.5"
"Tyler Allgeier","ATL","RB58","111.7","444.9","2.7","19.0","153.1","0.7","1.7","96.1"
"Damien Williams","ATL","RB59","89.9","362.3","2.8","22.5","160.2","1.0","1.2","95.4"
"Laviska Shenault Jr.","JAC","WR92","12.8","62.1","0.5","35.8","372.5","2.2","0.6","94.2"
"C.J. Uzomah","NYJ","TE29","0.0","0.0","0.0","40.1","384.0","2.6","0.1","94.1"
"Dee Eskridge","SEA","WR93","6.4","43.7","0.1","33.3","415.0","2.3","0.3","93.0"
"Nelson Agholor","NE","WR94","1.8","9.4","0.1","32.2","434.2","2.6","0.1","92.1"
"Braxton Berrios","NYJ","WR95","6.5","39.3","1.1","34.7","356.1","2.0","0.7","91.8"
"Bryan Edwards","ATL","WR96","0.0","0.0","0.0","31.6","448.8","2.4","0.1","90.7"
"Rachaad White","TB","RB60","88.1","359.9","3.2","17.9","139.7","0.8","1.2","89.7"
"Adam Trautman","NO","TE30","0.0","0.0","0.0","36.2","383.8","2.6","0.6","88.9"
"Paul Quessenberry","HOU","TE31","0.0","0.0","0.0","38.0","340.0","3.0","1.0","88.0"
"Jerick McKinnon","KC","RB61","39.1","161.2","1.3","30.3","238.5","1.6","0.3","86.9"
"Jonnu Smith","NE","TE32","0.0","0.0","0.0","32.3","349.6","2.5","0.1","82.1"
"Brian Robinson Jr.","WAS","RB62","94.3","404.5","3.0","13.0","97.4","0.5","1.2","81.7"
"Darius Slayton","NYG","WR97","0.3","-2.8","0.0","29.1","389.3","2.3","0.6","80.7"
"David Bell","CLE","WR98","0.7","4.3","0.0","29.0","389.8","2.1","0.6","79.8"
"Wan'Dale Robinson","NYG","WR99","2.6","16.0","0.1","31.4","354.4","1.6","0.3","78.0"
"Terrace Marshall Jr.","CAR","WR100","0.0","0.0","0.0","30.4","361.1","2.0","0.3","78.0"
"Dontrell Hilliard","TEN","RB63","47.3","239.2","1.7","25.8","162.3","0.5","0.7","77.6"
"Harrison Bryant","CLE","TE33","0.0","0.0","0.0","29.2","309.7","2.9","0.1","77.2"
"Olamide Zaccheaus","ATL","WR101","0.3","0.8","0.0","28.7","364.8","2.0","0.1","77.1"
"Jauan Jennings","SF","WR102","0.0","0.0","0.0","29.0","312.4","2.8","0.1","76.8"
"Tyler Conklin","NYJ","TE34","0.0","0.0","0.0","32.5","320.8","2.0","0.1","76.6"
"Jeremiah Hall","NYG","RB64","0.0","0.0","0.0","35.0","307.0","2.0","1.0","75.7"
"Jalen Guyton","LAC","WR103","4.5","26.6","0.1","23.3","342.8","2.2","0.1","73.9"
"Khalil Herbert","CHI","RB65","89.8","377.8","2.0","13.9","101.0","0.3","1.2","73.5"
"Ricky Seals-Jones","NYG","TE35","0.0","0.0","0.0","29.9","291.0","2.4","0.0","73.3"
"Sony Michel","MIA","RB66","103.2","431.7","2.5","8.9","57.4","0.2","0.7","72.3"
"Dan Arnold","JAC","TE36","0.0","0.0","0.0","28.0","330.2","1.8","0.7","70.3"
"Samaje Perine","CIN","RB67","68.4","291.9","1.5","17.5","122.0","0.6","0.6","70.1"
"Isaiah McKenzie","BUF","WR104","9.0","53.6","0.4","25.4","247.5","2.1","0.3","70.0"
"Matt Breida","NYG","RB68","77.0","338.5","1.7","12.6","99.2","0.7","1.7","67.1"
"Amari Rodgers","GB","WR105","0.8","5.5","0.0","24.3","315.0","1.9","0.6","66.8"
"Cade Otton","TB","TE37","0.0","0.0","0.0","26.1","274.0","2.4","0.6","66.4"
"Ja'Marcus Bradley","CLE","WR106","0.0","0.0","0.0","25.4","305.9","1.7","0.0","66.1"
"Chris Conley","HOU","WR107","0.0","0.0","0.0","24.4","322.8","1.6","0.3","65.9"
"Foster Moreau","LV","TE38","0.0","0.0","0.0","23.4","266.7","2.6","0.1","65.7"
"KJ Hamler","DEN","WR108","1.3","5.8","0.0","23.0","306.2","2.0","0.6","64.8"
